"","cell01","cell02","cell03","cell04","cell05","cell06","cell07","cell08","cell09","cell10","cell11","cell12","cell13","cell14","cell15","cell16","cell17","cell18","cell19","cell20","cell21","cell22","cell23","cell24","cell25","cell26","cell27","cell28","cell29","cell30","cell31","cell32","cell33","cell34","cell35","cell36","cell37","cell38","cell39","cell40","cell41","cell42","cell43","cell44","cell45","cell46","cell47","cell48","cell49","cell50","cell51","cell52","cell53","cell54","cell55","cell56","cell57","cell58","cell59","cell60"
"GENE0014",4,1,2,3,1,2,3,2,4,1,1,1,5,2,1,2,1,2,1,3,1,3,2,3,2,3,1,3,4,1,3,2,3,0,2,3,1,4,3,2,1,1,2,3,1,2,4,1,8,3,2,3,2,1,2,3,0,1,2,0
"GENE0015",4,1,2,0,1,1,3,1,0,1,1,1,4,1,2,3,2,1,1,1,1,3,4,2,2,0,2,1,1,1,4,2,2,1,1,1,1,1,3,3,2,2,2,2,1,4,1,2,3,4,2,2,1,0,5,4,0,1,4,1
"GENE0016",3,0,1,3,4,2,0,2,3,1,3,3,0,0,3,3,3,1,1,3,2,2,2,4,1,1,3,2,1,2,3,2,2,2,0,0,2,2,3,3,1,1,1,3,1,3,1,0,4,2,0,0,4,2,3,1,3,1,3,1
"GENE0017",1,3,3,2,1,2,2,2,3,4,1,6,1,3,2,1,1,2,1,4,1,6,0,2,1,2,1,2,0,0,0,3,1,0,2,1,1,0,1,1,2,2,1,4,3,2,1,5,2,1,4,1,1,1,2,0,3,1,4,0
"GENE0018",2,2,1,4,0,0,1,3,0,1,1,1,1,1,2,0,1,3,4,3,4,2,3,1,2,1,4,1,3,1,2,1,1,0,0,2,3,0,0,1,4,2,3,1,3,2,0,3,3,3,2,2,3,2,2,6,2,2,2,0
"GENE0019",3,1,1,4,3,4,3,1,3,1,2,1,2,1,3,0,2,1,1,0,2,3,2,0,4,0,3,1,4,2,5,1,2,0,3,0,1,2,0,1,2,2,3,0,4,3,0,1,1,0,2,2,5,0,1,1,2,0,3,1
"GENE0020",2,0,0,2,3,2,1,1,1,0,2,2,3,6,3,3,2,1,7,3,2,4,1,2,2,4,3,4,1,1,4,4,2,4,3,1,2,2,4,3,1,1,3,2,2,2,2,3,5,1,1,1,1,1,1,2,2,8,0,3
"GENE0021",2,2,1,3,0,0,3,0,1,4,2,2,0,1,2,3,2,1,1,2,3,5,1,2,1,4,1,3,0,0,2,4,1,2,1,4,1,3,0,1,0,0,2,3,3,3,2,1,2,0,2,0,0,0,0,0,3,2,1,3
"GENE0022",1,2,1,2,0,2,6,5,0,3,2,3,4,3,1,1,1,2,3,1,1,2,0,2,5,1,1,3,2,2,3,0,4,1,2,7,1,0,2,5,5,2,3,1,0,0,1,2,0,2,1,3,2,1,1,0,3,1,3,4
"GENE0023",1,0,2,1,1,2,2,0,3,5,2,3,1,2,1,2,0,1,2,1,3,0,4,2,2,0,3,4,4,1,2,1,1,2,2,4,4,2,1,1,5,3,2,1,1,1,0,1,4,2,3,2,2,0,1,0,2,2,1,2
"GENE0024",1,1,3,3,0,0,0,4,2,2,2,2,2,1,2,1,4,4,3,2,2,1,1,3,2,2,3,1,1,2,1,1,1,3,1,1,3,1,1,0,4,2,2,1,1,0,2,3,0,2,3,2,2,1,0,1,3,1,1,3
"GENE0025",4,4,0,3,2,2,0,1,1,0,2,3,5,3,4,2,2,2,2,2,1,1,2,2,2,1,2,4,1,1,2,5,3,1,3,4,3,1,3,5,3,3,1,0,3,4,1,1,2,1,0,1,4,3,2,2,6,3,1,3
"GENE0026",5,4,4,3,4,2,4,3,2,4,1,2,2,3,4,2,0,0,2,2,1,2,0,1,3,3,0,2,3,4,4,4,2,2,3,2,2,0,1,5,1,1,3,3,2,2,1,1,4,1,5,2,0,1,0,0,3,1,1,3
"GENE0027",3,1,2,1,1,3,3,2,0,0,3,3,1,1,1,1,1,4,3,1,2,4,1,3,2,0,1,3,5,4,1,3,1,2,2,2,0,1,0,3,1,1,2,3,4,3,3,0,1,2,3,0,2,2,2,3,0,5,4,4
"GENE0028",3,1,1,1,1,1,4,1,0,2,3,5,2,1,1,3,2,1,0,2,4,4,1,1,4,3,2,0,2,3,1,1,2,1,2,2,2,3,3,0,0,3,2,2,0,6,2,3,2,2,1,2,3,1,2,4,3,3,1,0
"GENE0029",2,1,4,1,2,3,4,0,2,1,2,7,0,3,3,0,3,1,5,3,6,3,0,4,3,2,3,1,2,3,1,1,0,1,1,1,3,3,2,2,0,1,1,0,7,1,1,3,2,0,1,2,0,2,1,1,3,2,0,2
"GENE0030",0,1,1,2,0,4,2,2,3,6,2,5,4,3,2,1,0,2,2,1,1,2,2,2,3,0,3,3,1,2,2,3,1,0,2,0,3,5,5,2,1,2,2,0,2,1,0,0,4,3,0,2,1,4,3,0,1,3,1,4
"GENE0031",2,0,1,4,1,2,0,2,1,3,3,2,2,3,1,1,1,2,4,0,1,3,2,1,3,1,6,2,1,2,4,0,1,1,0,0,4,3,5,1,2,2,0,1,2,4,2,1,1,3,2,1,3,0,4,1,4,5,1,2
"GENE0032",3,5,3,4,1,1,3,0,3,1,5,4,3,2,3,1,2,5,2,2,2,3,1,2,2,1,1,0,2,1,2,5,1,1,0,2,1,2,3,6,2,1,1,0,2,5,1,4,2,5,0,0,2,3,2,1,0,0,3,4
"GENE0033",3,2,1,1,4,4,1,2,3,3,3,5,4,1,1,3,3,1,0,2,3,3,1,1,3,6,1,2,2,2,5,1,0,6,1,1,2,0,0,3,0,1,1,3,2,1,3,0,0,2,1,3,3,1,4,4,1,0,3,1
"GENE0034",2,0,1,3,4,3,1,0,4,1,6,5,1,0,2,3,2,3,2,2,1,6,3,1,1,1,1,3,2,0,0,1,3,0,0,0,1,2,1,1,2,2,0,5,4,1,1,1,0,1,3,3,3,2,3,1,3,1,3,2
"GENE0035",2,1,2,3,3,0,1,4,2,4,5,2,0,2,1,2,3,1,5,2,1,1,2,1,0,2,1,0,4,1,1,1,1,2,3,1,4,1,2,1,0,2,0,2,1,0,2,3,2,4,2,2,0,0,0,2,3,0,0,3
"GENE0036",2,4,1,3,3,0,1,0,0,1,3,1,1,4,4,5,2,1,2,3,0,1,2,2,2,4,1,2,3,3,2,2,4,0,1,2,1,2,1,1,3,0,0,3,1,2,4,2,1,4,1,4,1,3,2,1,3,2,2,3
"GENE0037",0,1,1,1,7,3,0,2,4,4,1,0,1,1,1,0,1,4,2,3,3,3,2,3,0,4,0,4,0,3,2,4,1,4,5,0,2,3,1,2,3,3,3,4,2,2,2,1,1,3,3,2,1,2,1,4,2,1,1,2
"GENE0038",1,2,1,1,2,3,2,1,1,4,1,2,2,2,4,2,2,2,4,2,0,1,1,3,3,3,2,2,4,0,0,4,1,2,5,5,1,4,1,4,1,3,3,0,2,2,4,2,5,1,5,5,1,3,4,3,1,2,1,1
"GENE0039",2,4,1,0,1,0,3,2,1,4,4,0,3,2,3,3,2,1,1,2,3,5,3,2,1,3,4,1,1,0,1,2,8,7,1,2,3,4,3,4,3,1,4,7,3,1,1,0,0,3,2,2,3,3,3,3,1,1,4,1
"GENE0040",3,6,2,2,0,4,2,5,3,2,2,6,1,2,1,0,3,2,4,1,2,4,3,2,2,1,4,1,1,1,4,2,4,1,1,3,3,0,3,0,3,4,2,3,0,3,0,3,0,4,2,4,0,2,0,2,2,2,2,3
"GENE0041",1,2,3,1,3,3,1,3,2,3,1,3,5,0,0,3,6,5,5,3,1,4,1,1,2,3,2,1,2,1,2,0,3,0,4,1,1,3,2,1,1,2,6,2,3,1,1,1,0,3,1,3,1,2,3,1,5,2,2,1
"GENE0042",2,1,4,2,5,4,2,1,2,4,1,3,0,0,3,2,2,2,3,3,1,0,1,1,0,2,1,2,1,2,3,3,0,4,1,3,1,0,1,1,1,0,1,4,3,6,1,3,1,2,0,6,0,4,2,1,1,0,0,0
"GENE0043",2,1,3,1,5,2,4,2,2,2,2,1,1,4,1,2,4,1,2,2,3,0,8,2,2,3,0,4,2,4,2,2,2,2,1,2,4,2,2,2,0,1,6,3,1,1,1,1,1,2,2,0,2,2,2,1,1,5,4,2
"GENE0044",2,1,0,1,0,1,4,2,1,1,4,3,1,4,1,3,2,2,1,3,2,4,3,3,3,2,4,3,7,4,2,0,0,3,2,0,2,2,2,2,2,1,3,4,1,3,0,4,2,3,2,6,3,1,6,0,3,2,1,2
"GENE0045",3,2,2,1,2,3,2,2,2,1,2,2,4,4,2,2,4,3,5,1,4,3,2,4,0,2,0,2,2,1,1,1,2,2,1,1,2,3,2,1,0,1,1,2,2,0,2,2,3,4,3,0,1,3,2,3,1,1,2,6
"GENE0046",1,4,3,3,4,3,3,1,2,4,4,4,2,1,1,0,4,1,2,1,2,1,2,0,1,1,1,1,1,4,2,6,2,0,2,2,1,3,2,2,2,3,1,1,0,1,4,3,1,0,0,2,3,3,3,1,0,0,0,2
"GENE0047",4,1,0,1,1,2,3,2,2,1,1,5,1,1,0,4,2,4,2,2,3,2,1,1,1,1,3,3,1,0,2,0,1,4,2,5,1,2,2,1,0,1,0,1,1,1,0,3,0,1,3,1,2,2,2,1,0,3,3,4
"GENE0048",5,3,4,2,1,3,3,3,3,4,1,3,2,2,3,1,3,2,4,1,4,2,2,2,2,2,2,1,2,1,1,0,2,3,2,0,1,0,0,0,4,1,4,0,2,1,2,1,3,4,1,3,3,3,0,1,1,3,1,2
"GENE0049",1,3,2,2,1,0,4,3,2,2,0,2,1,1,1,2,1,6,1,2,0,2,2,1,0,1,2,1,0,2,5,3,0,1,1,6,3,3,2,2,1,6,1,1,2,3,2,3,1,0,0,4,2,1,2,2,3,2,3,1
"GENE0050",3,3,1,2,2,2,2,3,0,1,2,5,2,3,2,4,4,1,3,5,2,6,1,2,0,4,1,2,3,4,4,1,2,4,3,2,3,2,2,1,2,1,3,1,2,3,2,1,4,4,2,5,1,0,0,5,2,3,2,2
"GENE0051",4,4,3,1,2,0,2,1,2,5,1,1,0,1,1,4,3,1,0,4,2,2,3,1,7,3,0,0,7,2,1,3,5,2,2,4,2,3,1,2,1,3,4,4,2,0,0,3,2,5,0,2,4,5,2,2,0,3,4,3
"GENE0052",2,0,1,5,5,3,1,4,2,1,1,1,0,5,2,5,3,3,1,2,1,1,0,5,4,4,3,1,0,6,2,0,1,2,3,1,1,2,1,3,1,2,1,1,3,1,3,2,2,0,2,2,2,0,4,2,3,3,2,2
"GENE0053",2,1,3,5,4,3,4,1,4,5,2,0,2,2,4,2,2,2,4,2,4,0,3,6,3,0,0,1,0,5,1,1,1,2,3,2,1,4,4,3,2,4,1,3,4,4,2,1,0,1,2,2,4,2,8,2,3,4,2,1
"GENE0054",4,1,2,4,4,0,4,3,0,2,3,1,2,4,3,0,1,0,1,1,5,2,0,0,4,3,3,1,4,2,5,3,0,0,6,2,1,1,1,2,7,2,3,2,3,1,1,2,2,4,3,0,2,1,2,3,2,3,2,0
"GENE0055",3,2,2,0,3,2,2,1,3,0,0,1,2,1,1,4,9,3,1,2,2,2,0,1,2,0,2,3,3,1,2,4,1,2,3,3,3,2,4,3,1,1,1,3,2,4,4,3,4,3,1,2,3,1,1,1,2,0,1,3
"GENE0056",2,2,0,2,0,2,2,5,0,2,3,1,2,4,1,1,2,3,1,1,3,0,0,2,2,1,2,5,3,2,2,4,2,3,5,1,1,2,3,1,0,1,0,4,2,2,2,1,1,5,2,2,1,4,3,2,3,2,3,0
"GENE0057",3,2,0,1,0,1,0,1,1,1,3,1,1,2,1,2,0,1,3,6,1,4,0,3,0,1,2,3,0,1,2,1,1,1,3,0,2,1,2,3,3,2,1,3,3,1,3,1,1,1,2,2,2,2,1,1,0,3,0,0
"GENE0058",0,1,2,2,1,0,1,1,3,2,4,1,5,2,1,2,0,4,3,3,2,0,1,2,1,3,1,1,1,2,5,5,1,4,4,0,2,1,1,2,2,0,3,3,4,0,2,1,0,1,1,1,2,3,2,1,5,2,0,0
"GENE0059",3,3,2,2,1,1,2,2,4,4,1,3,3,0,1,3,2,3,2,2,2,5,2,2,1,0,0,2,0,4,2,0,4,6,0,0,1,3,2,3,4,7,1,0,3,6,1,3,1,2,2,3,0,2,3,2,2,1,3,0
"GENE0060",2,1,1,4,3,2,2,3,0,2,0,2,0,2,3,2,2,4,1,2,1,1,4,2,0,3,4,0,1,4,2,1,4,1,0,2,0,1,5,1,1,3,2,1,5,4,1,1,2,2,3,2,0,3,0,2,1,4,4,0
"GENE0061",1,2,3,5,2,1,3,4,2,1,4,3,2,2,2,1,4,1,3,2,0,3,3,2,3,2,3,1,2,1,2,3,3,0,1,1,1,1,0,4,1,1,3,1,1,1,2,2,4,3,1,2,1,2,4,3,2,1,1,2
"GENE0062",0,0,5,2,2,4,1,3,0,1,2,5,1,1,2,2,2,7,3,3,1,3,1,4,2,3,1,0,2,0,1,5,4,2,4,2,2,2,1,2,3,3,1,2,0,2,0,0,2,1,1,3,1,1,5,0,1,0,0,2
"GENE0063",2,3,2,2,0,2,3,1,1,0,2,2,2,2,1,1,0,0,4,3,0,1,2,1,3,3,1,2,5,2,2,1,4,1,1,5,0,1,2,2,0,1,0,2,0,2,0,1,3,0,2,3,4,1,2,2,3,1,1,3
"GENE0064",3,1,1,4,1,3,2,1,1,0,1,1,2,2,1,1,3,0,4,1,5,0,0,1,3,2,2,1,6,1,4,2,1,4,2,2,0,1,2,0,3,2,2,4,2,0,1,5,2,1,2,1,2,2,1,2,1,2,2,1
"GENE0065",3,0,2,4,3,1,2,2,2,3,1,2,1,0,1,3,1,0,1,4,2,1,3,1,2,3,4,1,3,3,2,2,2,2,3,2,4,0,0,3,0,2,2,3,2,1,1,3,3,2,3,4,1,3,2,3,1,1,3,1
"GENE0066",3,0,3,2,1,1,4,3,0,1,3,2,0,3,2,3,3,1,3,1,1,2,1,2,2,4,0,1,3,1,4,1,4,4,3,2,1,2,2,4,3,0,2,3,2,1,4,3,2,1,1,3,3,2,4,3,1,0,1,1
"GENE0067",1,5,2,0,0,0,0,1,2,5,2,1,0,2,1,6,2,3,1,3,3,1,2,4,4,4,2,3,0,4,2,1,2,2,0,3,1,2,2,1,3,4,0,4,6,4,1,2,0,1,3,4,1,2,2,0,4,0,2,3
"GENE0068",4,1,1,3,3,1,1,2,2,0,4,5,5,1,0,3,4,0,1,0,2,2,2,3,3,2,3,1,1,4,1,3,4,2,1,2,0,3,2,2,0,2,1,3,0,1,4,1,0,1,2,3,2,2,0,0,8,4,6,1
"GENE0069",1,3,1,4,2,2,3,3,2,5,2,2,0,2,3,1,2,1,2,2,2,3,2,3,0,3,4,1,1,3,3,0,1,0,1,2,1,3,0,2,0,0,3,4,3,0,0,0,3,5,2,2,4,1,4,1,3,1,0,4
"GENE0070",1,4,1,1,0,0,2,2,1,2,1,0,4,3,1,2,6,2,1,3,2,1,2,1,5,3,1,0,1,3,2,4,0,5,3,1,5,3,1,2,3,2,5,0,3,1,4,3,2,4,0,3,2,1,0,1,2,0,0,0
"GENE0071",3,2,4,1,1,3,1,1,1,3,3,2,2,2,4,4,1,5,3,1,3,2,5,2,0,3,0,5,1,2,3,2,0,2,3,1,2,0,1,3,4,5,3,2,3,1,5,0,2,3,1,4,0,0,1,3,6,2,0,3
"GENE0072",1,2,1,0,2,0,3,4,3,3,2,3,2,1,2,2,1,0,1,5,2,3,1,2,0,1,2,3,1,1,1,0,3,2,5,0,3,2,3,0,6,2,0,2,1,3,4,4,6,3,0,1,2,1,0,1,0,2,3,2
"GENE0073",3,0,3,1,1,5,0,2,1,3,2,2,2,2,1,2,2,0,1,2,1,7,1,1,2,2,3,0,0,0,2,1,2,0,3,2,1,6,2,1,2,1,2,1,3,0,2,5,3,4,2,2,5,1,1,4,4,1,0,4
"GENE0074",1,1,1,1,3,3,1,2,2,4,1,1,1,2,0,1,2,2,2,0,2,2,1,2,3,1,4,0,3,1,2,0,0,1,2,1,2,4,5,0,1,3,3,2,2,3,0,0,3,1,3,3,0,1,3,2,1,3,2,2
"GENE0075",3,3,0,0,1,2,3,2,4,3,0,5,4,2,2,3,4,1,2,2,4,1,1,1,2,2,3,4,3,2,4,1,1,3,2,2,0,1,3,1,3,0,2,0,4,3,3,2,2,1,0,2,2,2,4,1,1,3,4,2
"GENE0076",3,2,0,1,2,4,0,3,1,1,3,4,2,2,2,2,2,2,1,3,1,2,2,3,5,1,5,3,6,5,0,2,2,1,1,2,3,0,2,2,0,3,2,5,2,2,1,3,0,2,4,3,3,3,2,1,3,2,2,1
"GENE0077",1,3,4,2,2,2,0,1,3,2,0,0,2,2,1,1,0,3,3,0,4,2,2,3,1,1,3,1,6,3,2,3,1,1,5,4,2,0,4,2,1,1,3,1,5,3,2,4,2,2,2,2,0,3,4,0,2,0,2,5
"GENE0078",0,5,1,1,3,2,2,2,1,3,0,3,2,1,2,3,1,0,4,0,3,2,1,2,0,6,1,2,2,1,3,3,1,3,3,3,4,2,1,1,0,1,1,4,2,0,1,0,2,4,4,1,2,1,3,1,2,0,2,2
"GENE0079",1,2,4,5,2,3,2,2,1,0,1,4,3,1,5,2,4,1,3,0,3,2,2,1,4,6,0,4,0,4,3,0,3,0,0,0,3,1,1,4,1,3,3,4,3,2,3,4,5,2,0,3,1,0,1,2,1,3,1,3
"GENE0080",3,2,3,4,3,1,1,2,2,0,6,2,3,0,0,0,5,2,2,1,1,0,2,1,4,5,3,4,2,2,3,1,2,3,2,2,0,4,2,3,0,0,3,1,0,2,3,3,3,4,2,1,3,2,0,4,5,3,3,2
"GENE0081",4,2,3,6,2,2,2,2,1,3,2,3,2,4,3,1,3,3,3,0,2,1,0,1,0,1,2,0,3,3,2,1,4,2,2,2,1,2,2,0,2,1,0,2,4,1,5,2,0,2,5,1,1,4,1,2,0,3,3,2
"GENE0082",2,2,1,3,2,2,3,7,1,1,6,2,1,2,3,2,1,4,0,2,3,5,3,1,0,1,4,3,2,5,0,1,3,4,2,0,1,2,1,3,3,0,1,2,0,1,1,2,4,1,4,2,1,3,0,4,2,1,0,1
"GENE0083",2,1,0,1,0,1,0,3,5,1,1,0,1,2,0,0,0,4,2,4,3,3,3,3,1,5,0,1,1,0,1,4,6,0,2,2,1,1,2,1,2,0,6,4,3,1,2,0,4,1,0,1,4,1,4,3,0,0,2,1
"GENE0084",1,5,0,0,3,2,2,1,1,2,3,0,2,0,1,0,2,1,3,2,2,2,2,2,3,2,0,5,5,2,2,4,2,4,0,1,3,1,4,0,2,1,4,2,1,1,2,2,1,3,4,2,1,3,2,5,5,2,3,1
"GENE0085",2,2,1,3,0,0,4,0,5,3,1,1,2,2,1,3,0,6,3,3,1,1,0,2,4,3,1,2,4,2,3,2,3,2,1,2,1,3,1,2,3,1,1,1,4,2,2,0,1,2,2,5,4,1,4,4,2,1,0,2
"GENE0086",1,2,1,3,4,1,2,3,4,0,2,1,2,1,2,4,2,0,5,1,3,2,2,0,2,4,3,2,0,2,2,5,0,2,2,1,1,2,1,2,0,5,2,2,1,1,0,0,1,1,0,0,1,0,3,0,4,2,3,3
