"","miR-21","miR-34a","miR-143","miR-145","miR-200c"
"GENE0100",0,0,0,0,0
"GENE0101",1,0,0,0,0
"GENE0102",1,0,0,1,0
"GENE0103",1,0,0,0,0
"GENE0104",1,0,0,1,0
"GENE0105",0,0,0,0,0
"GENE0106",0,0,0,0,0
"GENE0107",2,0,0,0,1
"GENE0108",0,0,0,0,0
"GENE0109",1,1,0,0,0
"GENE0110",0,0,2,0,1
"GENE0111",0,0,0,0,0
"GENE0112",1,0,0,0,0
"GENE0113",0,0,0,0,1
"GENE0114",0,0,2,0,0
"GENE0115",0,0,1,1,1
"GENE0116",0,1,0,0,0
"GENE0117",2,0,1,1,0
"GENE0118",0,0,0,0,0
"GENE0119",0,0,0,0,0
"GENE0120",0,0,0,0,0
"GENE0121",0,1,1,0,1
"GENE0122",0,0,0,0,0
"GENE0123",0,0,0,1,1
"GENE0124",0,1,0,0,0
"GENE0125",0,0,0,0,0
"GENE0126",0,0,0,0,1
"GENE0127",0,0,0,1,1
"GENE0128",1,0,0,0,0
"GENE0129",0,1,0,1,1
"GENE0130",0,0,0,0,0
"GENE0131",1,2,1,0,1
"GENE0132",0,1,0,1,1
"GENE0133",0,1,0,0,1
"GENE0134",0,0,1,0,0
"GENE0135",0,0,0,0,0
"GENE0136",1,0,0,0,1
"GENE0137",2,0,0,0,0
"GENE0138",0,0,0,0,1
"GENE0139",0,1,1,0,2
"GENE0140",0,0,1,1,1
"GENE0141",0,0,0,0,0
"GENE0142",1,1,0,0,0
"GENE0143",0,0,1,1,0
"GENE0144",1,0,0,1,0
"GENE0145",0,0,0,1,0
"GENE0146",1,0,0,0,2
"GENE0147",0,0,0,0,0
"GENE0148",0,0,0,0,0
"GENE0149",1,0,0,0,1
"GENE0150",0,0,0,0,0
"GENE0151",1,0,0,0,0
"GENE0152",0,1,0,0,2
"GENE0153",0,0,0,0,0
"GENE0154",0,0,0,0,1
"GENE0155",1,1,0,1,1
"GENE0156",0,0,0,0,1
"GENE0157",0,0,0,0,0
"GENE0158",0,1,0,1,1
"GENE0159",0,0,0,0,0
"GENE0160",0,0,0,0,0
"GENE0161",0,0,0,1,0
"GENE0162",0,0,2,0,0
"GENE0163",1,0,2,0,0
"GENE0164",0,0,0,0,0
"GENE0165",0,0,0,0,0
"GENE0166",1,0,0,0,0
"GENE0167",1,0,0,1,0
"GENE0168",0,0,0,0,0
"GENE0169",0,1,0,2,0
"GENE0170",0,0,0,1,0
"GENE0171",0,0,0,0,0
"GENE0172",0,0,0,1,0
"GENE0173",0,0,0,0,0
"GENE0174",0,1,0,1,0
"GENE0175",0,0,0,0,0
"GENE0176",0,1,1,0,0
"GENE0177",0,0,0,1,0
"GENE0178",0,0,0,0,0
"GENE0179",0,0,0,1,0
"GENE0180",0,0,0,0,1
